retailer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
RTL1048,775,1,1603.04,1,1,1,111,At Risk
RTL1049,16,1,4531.56,5,1,2,512,Recent Customer
RTL1051,23,5,21001.22,5,5,5,555,Champion
RTL1052,106,3,31380.589999999997,4,3,5,435,Recent Customer
RTL1053,740,1,19.34,1,1,1,111,At Risk
RTL1054,28,5,26905.9,5,5,5,555,Champion
RTL1055,627,1,106.68,1,1,1,111,At Risk
RTL1056,31,3,14816.98,5,3,4,534,Recent Customer
RTL1057,385,4,9493.59,2,4,3,243,At Risk
RTL1058,234,3,573871.2,3,3,5,335,Others
RTL1059,200,1,314.73,3,1,1,311,Others
RTL1060,693,1,1737.33,1,1,1,111,At Risk
RTL1061,323,3,7770.7300000000005,3,3,3,333,Others
RTL1062,493,1,679.35,2,1,1,211,At Risk
RTL1063,4,4,21467.82,5,4,5,545,Loyal Customer
RTL1064,158,2,11936.35,4,2,4,424,Recent Customer
RTL1065,53,4,14785.91,5,4,4,544,Loyal Customer
RTL1066,290,3,11652.48,3,3,4,334,Others
RTL1068,220,2,4320.88,3,2,2,322,Others
RTL1069,413,2,9816.57,2,2,3,223,At Risk
RTL1071,95,3,14578.330000000002,4,3,4,434,Recent Customer
RTL1072,84,3,22312.42,5,3,5,535,Recent Customer
RTL1073,660,2,5363.660000000001,1,2,2,122,At Risk
RTL1074,52,4,1732913.22,5,4,5,545,Loyal Customer
RTL1075,69,2,9006.77,5,2,3,523,Recent Customer
RTL1077,145,2,14154.82,4,2,4,424,Recent Customer
RTL1078,463,1,1734.78,2,1,1,211,At Risk
RTL1079,36,4,12447.5,5,4,4,544,Loyal Customer
RTL1080,204,2,5795.55,3,2,2,322,Others
RTL1081,821,1,2574.6,1,1,2,112,At Risk
RTL1082,808,1,529032.0,1,1,5,115,At Risk
RTL1083,531,1,5772.2,2,1,2,212,At Risk
RTL1084,260,3,2107.98,3,3,1,331,Others
RTL1087,191,3,10405.74,4,3,3,433,Recent Customer
RTL1088,144,2,6187.5,4,2,3,423,Recent Customer
RTL1089,180,3,12236.75,4,3,4,434,Recent Customer
RTL1090,866,1,3402.55,1,1,2,112,At Risk
RTL1091,948,1,14162.5,1,1,4,114,At Risk
RTL1092,446,3,12098.289999999999,2,3,4,234,At Risk
RTL1093,291,2,10314.74,3,2,3,323,Others
RTL1094,666,2,1676.95,1,2,1,121,At Risk
RTL1095,156,2,8800.72,4,2,3,423,Recent Customer
RTL1096,430,2,9247.75,2,2,3,223,At Risk
RTL1098,134,2,3651.3599999999997,4,2,2,422,Recent Customer
RTL1099,336,1,5943.58,2,1,2,212,At Risk
RTL1100,463,1,4318.8,2,1,2,212,At Risk
RTL1101,360,2,4469.91,2,2,2,222,At Risk
RTL1103,245,2,5283.81,3,2,2,322,Others
RTL1104,54,3,40006.25,5,3,5,535,Recent Customer
RTL1105,135,2,21798.27,4,2,5,425,Recent Customer
RTL1106,761,3,10031.41,1,3,3,133,At Risk
RTL1107,66,3,11417.3,5,3,4,534,Recent Customer
RTL1108,70,4,9505.27,5,4,3,543,Loyal Customer
RTL1109,407,1,2433550.0,2,1,5,215,At Risk
RTL1112,136,4,21138.74,4,4,5,445,Loyal Customer
RTL1113,251,2,23673.75,3,2,5,325,Others
RTL1114,335,2,4323.08,3,2,2,322,Others
RTL1115,87,3,13641.619999999999,5,3,4,534,Recent Customer
RTL1116,110,6,2020312.57,4,5,5,455,Loyal Customer
RTL1117,119,5,15403.800000000001,4,5,4,454,Loyal Customer
RTL1118,117,4,5074.92,4,4,2,442,Loyal Customer
RTL1119,443,2,4530.84,2,2,2,222,At Risk
RTL1120,6,4,16846.309999999998,5,4,4,544,Loyal Customer
RTL1121,257,4,33917.43,3,4,5,345,Others
RTL1122,163,2,3688.83,4,2,2,422,Recent Customer
RTL1123,343,2,1041.56,2,2,1,221,At Risk
RTL1124,297,4,14535.95,3,4,4,344,Others
RTL1125,405,4,17691.71,2,4,4,244,At Risk
RTL1126,349,1,1753.65,2,1,1,211,At Risk
RTL1127,508,1,2011.9,2,1,1,211,At Risk
RTL1128,231,3,3072.42,3,3,2,332,Others
RTL1129,698,1,926.61,1,1,1,111,At Risk
RTL1131,8,3,2838.0299999999997,5,3,2,532,Recent Customer
RTL1132,484,2,5919.62,2,2,2,222,At Risk
RTL1133,705,1,7972.01,1,1,3,113,At Risk
RTL1134,326,1,133.38,3,1,1,311,Others
RTL1135,94,3,1160994.53,4,3,5,435,Recent Customer
RTL1136,734,3,1091.78,1,3,1,131,At Risk
RTL1137,33,1,3615.0,5,1,2,512,Recent Customer
RTL1138,682,3,11162.31,1,3,4,134,At Risk
RTL1139,142,3,4919.73,4,3,2,432,Recent Customer
RTL1140,679,3,6929.98,1,3,3,133,At Risk
RTL1141,395,3,745.3199999999999,2,3,1,231,At Risk
RTL1142,472,1,2647.36,2,1,2,212,At Risk
RTL1143,353,2,2807.18,2,2,2,222,At Risk
RTL1144,448,2,6115.65,2,2,3,223,At Risk
RTL1145,28,2,1830.49,5,2,1,521,Recent Customer
RTL1146,169,2,7622.35,4,2,3,423,Recent Customer
RTL1147,24,4,11171.22,5,4,4,544,Loyal Customer
RTL1148,189,2,14097.990000000002,4,2,4,424,Recent Customer
RTL1149,253,4,27247.6,3,4,5,345,Others
RTL1150,368,1,313.1,2,1,1,211,At Risk
RTL1151,272,1,3520.65,3,1,2,312,Others
RTL1152,57,1,3172.53,5,1,2,512,Recent Customer
RTL1153,401,3,9009.39,2,3,3,233,At Risk
RTL1154,213,2,22962.36,3,2,5,325,Others
RTL1155,93,3,4486.81,4,3,2,432,Recent Customer
RTL1156,350,2,15692.99,2,2,4,224,At Risk
RTL1157,459,2,6534.15,2,2,3,223,At Risk
RTL1158,11,2,22407.0,5,2,5,525,Recent Customer
RTL1159,741,2,11495.509999999998,1,2,4,124,At Risk
RTL1160,183,4,11266.849999999999,4,4,4,444,Loyal Customer
RTL1161,463,1,14307.2,2,1,4,214,At Risk
RTL1162,19,3,5160.0,5,3,2,532,Recent Customer
RTL1163,612,2,4482.9,1,2,2,122,At Risk
RTL1164,48,4,13771.25,5,4,4,544,Loyal Customer
RTL1165,153,5,12454.27,4,5,4,454,Loyal Customer
RTL1166,914,1,12990.2,1,1,4,114,At Risk
RTL1167,18,3,14771.27,5,3,4,534,Recent Customer
RTL1169,478,3,8318.31,2,3,3,233,At Risk
RTL1170,9,3,15749.519999999999,5,3,4,534,Recent Customer
RTL1171,268,4,14369.48,3,4,4,344,Others
RTL1172,295,3,9849.59,3,3,3,333,Others
RTL1173,573,2,13617.19,1,2,4,124,At Risk
RTL1174,226,3,12315.779999999999,3,3,4,334,Others
RTL1175,289,1,2324.43,3,1,1,311,Others
RTL1176,128,3,2287.13,4,3,1,431,Recent Customer
RTL1177,62,5,21896.420000000002,5,5,5,555,Champion
RTL1178,85,2,8110.7699999999995,5,2,3,523,Recent Customer
RTL1179,127,2,21118.46,4,2,5,425,Recent Customer
RTL1180,142,2,6010.41,4,2,2,422,Recent Customer
RTL1181,633,1,2102.04,1,1,1,111,At Risk
RTL1182,660,2,10334.76,1,2,3,123,At Risk
RTL1183,50,5,21750.38,5,5,5,555,Champion
RTL1184,764,1,8283.0,1,1,3,113,At Risk
RTL1186,797,1,1852.37,1,1,1,111,At Risk
RTL1187,146,6,28038.61,4,5,5,455,Loyal Customer
RTL1189,126,4,17420.87,4,4,4,444,Loyal Customer
RTL1190,192,2,11078.449999999999,4,2,4,424,Recent Customer
RTL1191,449,4,19753.780000000002,2,4,5,245,At Risk
RTL1192,82,3,4802.23,5,3,2,532,Recent Customer
RTL1193,446,1,128.68,2,1,1,211,At Risk
RTL1194,164,5,2012168.19,4,5,5,455,Loyal Customer
RTL1195,392,2,9146.36,2,2,3,223,At Risk
RTL1196,164,4,11621.11,4,4,4,444,Loyal Customer
RTL1197,10,2,3085.21,5,2,2,522,Recent Customer
RTL1198,455,1,12112.5,2,1,4,214,At Risk
RTL1199,428,2,15031.869999999999,2,2,4,224,At Risk
RTL1200,437,2,7901.88,2,2,3,223,At Risk
RTL1201,196,3,676758.71,3,3,5,335,Others
RTL1202,166,4,11051.59,4,4,4,444,Loyal Customer
RTL1203,268,8,32326.26,3,5,5,355,Others
RTL1204,90,2,43012.2,4,2,5,425,Recent Customer
RTL1205,922,1,6412.59,1,1,3,113,At Risk
RTL1206,363,2,2464.11,2,2,2,222,At Risk
RTL1207,3,5,17720.31,5,5,4,554,Loyal Customer
RTL1208,328,2,1706.1100000000001,3,2,1,321,Others
RTL1209,281,3,576061.47,3,3,5,335,Others
RTL1210,536,1,2656.85,2,1,2,212,At Risk
RTL1211,975,1,9292.6,1,1,3,113,At Risk
RTL1212,42,3,680554.7,5,3,5,535,Recent Customer
RTL1213,727,2,1339.04,1,2,1,121,At Risk
RTL1214,527,2,1645.42,2,2,1,221,At Risk
RTL1215,256,2,12025.17,3,2,4,324,Others
RTL1216,864,1,1890.6,1,1,1,111,At Risk
RTL1217,660,1,1915.08,1,1,1,111,At Risk
RTL1218,609,1,198.99,1,1,1,111,At Risk
RTL1219,597,2,1541.51,1,2,1,121,At Risk
RTL1220,412,1,4760.96,2,1,2,212,At Risk
RTL1221,118,5,20275.37,4,5,5,455,Loyal Customer
RTL1222,252,3,5432.53,3,3,2,332,Others
RTL1223,15,1,9658.08,5,1,3,513,Recent Customer
RTL1224,149,3,20971.22,4,3,5,435,Recent Customer
RTL1225,522,2,3560.7,2,2,2,222,At Risk
RTL1226,817,1,7027.99,1,1,3,113,At Risk
RTL1228,274,6,30480.34,3,5,5,355,Others
RTL1229,46,3,759199.86,5,3,5,535,Recent Customer
RTL1230,561,4,10243.09,1,4,3,143,At Risk
RTL1231,80,2,7430.150000000001,5,2,3,523,Recent Customer
RTL1232,523,1,605.95,2,1,1,211,At Risk
RTL1233,169,2,15251.31,4,2,4,424,Recent Customer
RTL1234,282,2,7888.639999999999,3,2,3,323,Others
RTL1235,40,3,8155.3099999999995,5,3,3,533,Recent Customer
RTL1236,117,3,2344.41,4,3,1,431,Recent Customer
RTL1237,802,1,3241.6,1,1,2,112,At Risk
RTL1238,82,1,1104.75,5,1,1,511,Recent Customer
RTL1240,9,2,4247.51,5,2,2,522,Recent Customer
RTL1241,110,1,2260.16,4,1,1,411,Recent Customer
RTL1242,450,2,16926.16,2,2,4,224,At Risk
RTL1243,372,2,979.01,2,2,1,221,At Risk
RTL1244,68,1,3928.77,5,1,2,512,Recent Customer
RTL1245,240,3,9532.939999999999,3,3,3,333,Others
RTL1246,219,5,33913.5,3,5,5,355,Others
RTL1248,13,3,17265.28,5,3,4,534,Recent Customer
RTL1249,535,1,2490.96,2,1,2,212,At Risk
RTL1250,264,2,130297.72,3,2,5,325,Others
RTL1251,382,2,11139.88,2,2,4,224,At Risk
RTL1252,549,1,13480.2,2,1,4,214,At Risk
RTL1253,277,2,3684.8500000000004,3,2,2,322,Others
RTL1254,453,1,226.68,2,1,1,211,At Risk
RTL1255,796,2,1883.95,1,2,1,121,At Risk
RTL1256,273,3,3330.2799999999997,3,3,2,332,Others
RTL1257,43,3,4299.77,5,3,2,532,Recent Customer
RTL1258,159,3,10530.720000000001,4,3,3,433,Recent Customer
RTL1261,306,3,9103.55,3,3,3,333,Others
RTL1262,74,4,26099.170000000002,5,4,5,545,Loyal Customer
RTL1263,179,3,22523.23,4,3,5,435,Recent Customer
RTL1264,520,1,342.73,2,1,1,211,At Risk
RTL1265,95,5,317516.25,4,5,5,455,Loyal Customer
RTL1266,506,3,5753.299999999999,2,3,2,232,At Risk
RTL1267,27,4,14819.08,5,4,4,544,Loyal Customer
RTL1268,226,3,20469.48,3,3,5,335,Others
RTL1269,1016,1,6531500.0,1,1,5,115,At Risk
RTL1270,26,2,6049.67,5,2,3,523,Recent Customer
RTL1271,241,2,8942.2,3,2,3,323,Others
RTL1272,868,2,2419318.48,1,2,5,125,At Risk
RTL1273,128,2,4664.33,4,2,2,422,Recent Customer
RTL1274,83,2,9702.68,5,2,3,523,Recent Customer
RTL1275,206,4,2307194.38,3,4,5,345,Others
RTL1276,342,1,6226.79,2,1,3,213,At Risk
RTL1277,499,2,21716.7,2,2,5,225,At Risk
RTL1279,170,3,14570.630000000001,4,3,4,434,Recent Customer
RTL1280,319,5,151808.03,3,5,5,355,Others
RTL1281,7,3,9483.9,5,3,3,533,Recent Customer
RTL1282,513,1,634709.0,2,1,5,215,At Risk
RTL1283,324,3,21334.14,3,3,5,335,Others
RTL1284,800,2,4182.79,1,2,2,122,At Risk
RTL1285,72,2,16881.0,5,2,4,524,Recent Customer
RTL1286,140,2,2549.44,4,2,2,422,Recent Customer
RTL1287,43,3,13702.74,5,3,4,534,Recent Customer
RTL1288,577,2,3555.98,1,2,2,122,At Risk
RTL1290,32,4,18121.95,5,4,4,544,Loyal Customer
RTL1291,253,1,1267.59,3,1,1,311,Others
RTL1292,201,1,2155440.0,3,1,5,315,Others
RTL1293,885,1,4390.88,1,1,2,112,At Risk
RTL1294,57,3,5014.879999999999,5,3,2,532,Recent Customer
RTL1295,304,1,854.03,3,1,1,311,Others
RTL1296,26,3,1913.71,5,3,1,531,Recent Customer
RTL1297,178,4,16134.49,4,4,4,444,Loyal Customer
RTL1298,839,1,6434.52,1,1,3,113,At Risk
RTL1299,28,2,6483.759999999999,5,2,3,523,Recent Customer
RTL1300,121,4,10102.05,4,4,3,443,Loyal Customer
RTL1301,279,2,5114.51,3,2,2,322,Others
RTL1302,957,2,14866.599999999999,1,2,4,124,At Risk
RTL1303,88,2,15569.539999999999,4,2,4,424,Recent Customer
RTL1304,520,2,3113.98,2,2,2,222,At Risk
RTL1305,583,1,3850.63,1,1,2,112,At Risk
RTL1306,31,1,11440.4,5,1,4,514,Recent Customer
RTL1307,239,2,8222.14,3,2,3,323,Others
RTL1308,260,4,11993.650000000001,3,4,4,344,Others
RTL1309,1002,1,4076.28,1,1,2,112,At Risk
RTL1310,670,1,3300.7,1,1,2,112,At Risk
RTL1312,108,3,16300.59,4,3,4,434,Recent Customer
RTL1313,862,1,289.93,1,1,1,111,At Risk
RTL1314,261,3,10722.179999999998,3,3,3,333,Others
RTL1315,202,2,1774.54,3,2,1,321,Others
RTL1316,297,1,6985.92,3,1,3,313,Others
RTL1317,182,3,13823.29,4,3,4,434,Recent Customer
RTL1318,404,2,5585.54,2,2,2,222,At Risk
RTL1319,284,1,220.54,3,1,1,311,Others
RTL1320,599,1,979.95,1,1,1,111,At Risk
RTL1321,415,1,10364.1,2,1,3,213,At Risk
RTL1322,749,3,20499.68,1,3,5,135,At Risk
RTL1323,163,2,776.15,4,2,1,421,Recent Customer
RTL1325,41,4,9650.68,5,4,3,543,Loyal Customer
RTL1326,281,2,2072.75,3,2,1,321,Others
RTL1328,307,3,30615.16,3,3,5,335,Others
RTL1329,107,2,11956.45,4,2,4,424,Recent Customer
RTL1330,72,2,2505.0099999999998,5,2,2,522,Recent Customer
RTL1331,455,2,6324.200000000001,2,2,3,223,At Risk
RTL1332,507,1,4171.42,2,1,2,212,At Risk
RTL1333,217,5,29466.56,3,5,5,355,Others
RTL1334,117,3,7364.03,4,3,3,433,Recent Customer
RTL1335,227,3,12901.02,3,3,4,334,Others
RTL1336,639,2,943.5999999999999,1,2,1,121,At Risk
RTL1337,128,6,20089.12,4,5,5,455,Loyal Customer
RTL1338,178,1,1664.86,4,1,1,411,Recent Customer
RTL1339,64,2,10184.67,5,2,3,523,Recent Customer
RTL1340,758,1,7406.12,1,1,3,113,At Risk
RTL1342,160,3,11896.99,4,3,4,434,Recent Customer
RTL1343,162,3,2206.43,4,3,1,431,Recent Customer
RTL1344,142,1,7578.62,4,1,3,413,Recent Customer
RTL1346,754,1,4163.59,1,1,2,112,At Risk
RTL1347,698,2,6605.549999999999,1,2,3,123,At Risk
RTL1348,157,3,4623.18,4,3,2,432,Recent Customer
RTL1349,35,6,19825.65,5,5,5,555,Champion
RTL1350,60,3,34182.11,5,3,5,535,Recent Customer
RTL1351,62,1,183.31,5,1,1,511,Recent Customer
RTL1352,418,2,5806.629999999999,2,2,2,222,At Risk
RTL1353,481,1,566.12,2,1,1,211,At Risk
RTL1354,87,3,2368.82,5,3,1,531,Recent Customer
RTL1355,82,1,42.11,5,1,1,511,Recent Customer
RTL1356,199,2,8043.9,3,2,3,323,Others
RTL1357,108,2,1105.76,4,2,1,421,Recent Customer
RTL1358,82,4,9633.96,5,4,3,543,Loyal Customer
RTL1359,343,1,3004.92,2,1,2,212,At Risk
RTL1360,1017,1,3554.6,1,1,2,112,At Risk
RTL1361,433,1,1633.8,2,1,1,211,At Risk
RTL1362,464,3,11959.79,2,3,4,234,At Risk
RTL1363,232,3,4040.36,3,3,2,332,Others
RTL1364,493,2,4504.39,2,2,2,222,At Risk
RTL1365,300,4,20437.28,3,4,5,345,Others
RTL1369,565,2,8242.9,1,2,3,123,At Risk
RTL1370,445,1,45660.8,2,1,5,215,At Risk
RTL1371,330,3,13607.59,3,3,4,334,Others
RTL1372,48,4,18189.76,5,4,4,544,Loyal Customer
RTL1374,313,1,670.03,3,1,1,311,Others
RTL1375,106,1,858.22,4,1,1,411,Recent Customer
RTL1376,345,4,34254.69,2,4,5,245,At Risk
RTL1377,281,2,1055851.3,3,2,5,325,Others
RTL1378,91,2,6295.2,4,2,3,423,Recent Customer
RTL1379,456,3,7512.299999999999,2,3,3,233,At Risk
RTL1380,978,1,1900.54,1,1,1,111,At Risk
RTL1381,265,4,37725.689999999995,3,4,5,345,Others
RTL1382,659,3,12166.58,1,3,4,134,At Risk
RTL1383,106,2,23060.4,4,2,5,425,Recent Customer
RTL1384,235,3,26359.649999999998,3,3,5,335,Others
RTL1385,203,3,9065.79,3,3,3,333,Others
RTL1386,140,2,7401.17,4,2,3,423,Recent Customer
RTL1387,955,1,1362.97,1,1,1,111,At Risk
RTL1388,198,4,12017.53,3,4,4,344,Others
RTL1389,832,1,2245.43,1,1,1,111,At Risk
RTL1392,61,2,156.9,5,2,1,521,Recent Customer
RTL1393,114,2,934.03,4,2,1,421,Recent Customer
RTL1394,183,1,2145.12,4,1,1,411,Recent Customer
RTL1395,476,1,5779.43,2,1,2,212,At Risk
RTL1396,322,3,985.66,3,3,1,331,Others
RTL1397,198,3,20629.4,3,3,5,335,Others
RTL1400,709,2,3676.62,1,2,2,122,At Risk
RTL1401,700,1,23806.7,1,1,5,115,At Risk
RTL1402,114,1,4777.65,4,1,2,412,Recent Customer
RTL1403,828,1,10493.1,1,1,3,113,At Risk
RTL1404,189,3,16152.490000000002,4,3,4,434,Recent Customer
RTL1405,5,1,4219.64,5,1,2,512,Recent Customer
RTL1406,644,2,13936.74,1,2,4,124,At Risk
RTL1407,863,1,8844.66,1,1,3,113,At Risk
RTL1408,116,3,3233.67,4,3,2,432,Recent Customer
RTL1409,56,4,7867.65,5,4,3,543,Loyal Customer
RTL1410,222,3,9635.05,3,3,3,333,Others
RTL1411,157,3,7335.98,4,3,3,433,Recent Customer
RTL1412,228,3,2905.87,3,3,2,332,Others
RTL1413,90,2,922.99,4,2,1,421,Recent Customer
RTL1414,452,2,29241.57,2,2,5,225,At Risk
RTL1415,159,4,14511.96,4,4,4,444,Loyal Customer
RTL1416,145,5,630014.86,4,5,5,455,Loyal Customer
RTL1417,328,2,3849.8999999999996,3,2,2,322,Others
RTL1418,250,7,23520.21,3,5,5,355,Others
RTL1419,403,2,9313.01,2,2,3,223,At Risk
RTL1420,723,2,5369.23,1,2,2,122,At Risk
RTL1421,669,3,6000.93,1,3,2,132,At Risk
RTL1422,184,3,8665.85,4,3,3,433,Recent Customer
RTL1423,932,1,220.17,1,1,1,111,At Risk
RTL1424,36,4,6503.780000000001,5,4,3,543,Loyal Customer
RTL1425,36,4,3117.29,5,4,2,542,Loyal Customer
RTL1426,3,6,15719.77,5,5,4,554,Loyal Customer
RTL1427,269,3,15599.28,3,3,4,334,Others
RTL1428,365,2,6535.82,2,2,3,223,At Risk
RTL1429,658,2,2139.95,1,2,1,121,At Risk
RTL1430,134,2,5782.67,4,2,2,422,Recent Customer
RTL1431,205,6,21423.87,3,5,5,355,Others
RTL1432,195,3,18254.56,3,3,4,334,Others
RTL1434,465,3,10480.85,2,3,3,233,At Risk
RTL1435,271,2,5173.139999999999,3,2,2,322,Others
RTL1436,240,1,252353.0,3,1,5,315,Others
RTL1437,885,1,8882.46,1,1,3,113,At Risk
RTL1438,121,2,21244.91,4,2,5,425,Recent Customer
RTL1439,109,2,8157.76,4,2,3,423,Recent Customer
RTL1440,106,3,18307.93,4,3,4,434,Recent Customer
RTL1441,123,2,6062.01,4,2,3,423,Recent Customer
RTL1442,626,3,13822.7,1,3,4,134,At Risk
RTL1443,158,3,8726.08,4,3,3,433,Recent Customer
RTL1444,185,3,6471.73,4,3,3,433,Recent Customer
RTL1445,393,2,19793.98,2,2,5,225,At Risk
RTL1446,45,4,23167.64,5,4,5,545,Loyal Customer
RTL1447,84,4,7088.96,5,4,3,543,Loyal Customer
RTL1448,208,2,4536.36,3,2,2,322,Others
RTL1449,206,2,11193.42,3,2,4,324,Others
RTL1450,270,2,451.84000000000003,3,2,1,321,Others
RTL1451,130,3,13532.47,4,3,4,434,Recent Customer
RTL1452,115,5,13115.029999999999,4,5,4,454,Loyal Customer
RTL1453,489,3,20079.079999999998,2,3,5,235,At Risk
RTL1455,659,2,506.84,1,2,1,121,At Risk
RTL1456,115,1,18539.6,4,1,4,414,Recent Customer
RTL1457,236,5,22984.96,3,5,5,355,Others
RTL1458,235,3,6369.0,3,3,3,333,Others
RTL1459,113,6,24027.55,4,5,5,455,Loyal Customer
RTL1461,429,2,4298.3,2,2,2,222,At Risk
RTL1463,117,4,13795.17,4,4,4,444,Loyal Customer
RTL1464,125,2,3631.23,4,2,2,422,Recent Customer
RTL1465,95,2,3454.12,4,2,2,422,Recent Customer
RTL1466,504,2,10349.48,2,2,3,223,At Risk
RTL1467,468,3,10581.11,2,3,3,233,At Risk
RTL1468,36,3,10015.57,5,3,3,533,Recent Customer
RTL1469,435,1,1253.52,2,1,1,211,At Risk
RTL1470,897,2,11664.55,1,2,4,124,At Risk
RTL1472,263,2,7579.18,3,2,3,323,Others
RTL1473,46,4,1192460.61,5,4,5,545,Loyal Customer
RTL1475,881,2,779124.0,1,2,5,125,At Risk
RTL1476,150,2,3054.6099999999997,4,2,2,422,Recent Customer
RTL1477,180,1,2934.26,4,1,2,412,Recent Customer
RTL1478,504,2,5216.389999999999,2,2,2,222,At Risk
RTL1479,307,1,73.56,3,1,1,311,Others
RTL1480,232,3,6934.75,3,3,3,333,Others
RTL1481,724,1,375.98,1,1,1,111,At Risk
RTL1484,261,5,17846.44,3,5,4,354,Others
RTL1485,108,3,1878851.1,4,3,5,435,Recent Customer
RTL1486,101,1,520.65,4,1,1,411,Recent Customer
RTL1487,298,3,6236.37,3,3,3,333,Others
RTL1488,17,3,13518.449999999999,5,3,4,534,Recent Customer
RTL1489,18,3,18710.82,5,3,4,534,Recent Customer
RTL1490,66,4,4374.38,5,4,2,542,Loyal Customer
RTL1491,353,4,3595.95,2,4,2,242,At Risk
RTL1492,268,6,2284075.08,3,5,5,355,Others
RTL1493,257,1,1873.84,3,1,1,311,Others
RTL1495,117,3,1936.59,4,3,1,431,Recent Customer
RTL1496,108,1,5806.97,4,1,2,412,Recent Customer
RTL1497,911,1,13014.0,1,1,4,114,At Risk
RTL1498,63,1,6981.83,5,1,3,513,Recent Customer
RTL1499,22,3,15342.16,5,3,4,534,Recent Customer
RTL1501,149,5,22047.34,4,5,5,455,Loyal Customer
RTL1502,16,1,700.26,5,1,1,511,Recent Customer
RTL1503,918,1,11476.7,1,1,4,114,At Risk
RTL1504,177,2,16273.17,4,2,4,424,Recent Customer
RTL1505,174,3,64944.979999999996,4,3,5,435,Recent Customer
RTL1506,850,2,13741.75,1,2,4,124,At Risk
RTL1507,279,3,179071.44,3,3,5,335,Others
RTL1508,361,3,326633.1,2,3,5,235,At Risk
RTL1509,147,3,17987.8,4,3,4,434,Recent Customer
RTL1510,89,6,10192.17,4,5,3,453,Loyal Customer
RTL1511,411,2,10971.33,2,2,3,223,At Risk
RTL1512,197,4,18260.35,3,4,4,344,Others
RTL1513,114,3,9611.37,4,3,3,433,Recent Customer
RTL1514,200,2,681.67,3,2,1,321,Others
RTL1516,353,1,583.02,2,1,1,211,At Risk
RTL1517,881,1,10931.8,1,1,3,113,At Risk
RTL1518,54,4,19415.66,5,4,5,545,Loyal Customer
RTL1519,101,2,4001.67,4,2,2,422,Recent Customer
RTL1521,484,1,9306.9,2,1,3,213,At Risk
RTL1522,38,4,8065.76,5,4,3,543,Loyal Customer
RTL1524,439,2,1326.3000000000002,2,2,1,221,At Risk
RTL1525,492,1,12639.7,2,1,4,214,At Risk
RTL1526,271,2,3899.89,3,2,2,322,Others
RTL1527,633,3,9519.53,1,3,3,133,At Risk
RTL1528,186,3,7703.9,4,3,3,433,Recent Customer
RTL1529,297,3,6822.49,3,3,3,333,Others
RTL1530,145,5,8616.49,4,5,3,453,Loyal Customer
RTL1531,226,4,12221.66,3,4,4,344,Others
RTL1532,319,2,21185.15,3,2,5,325,Others
RTL1533,164,3,13446.939999999999,4,3,4,434,Recent Customer
RTL1534,1,7,40352.770000000004,5,5,5,555,Champion
RTL1535,54,2,3611.79,5,2,2,522,Recent Customer
